2020-05-24 08:47:12.632 sszserver [main] INFO  com.hello.adminservice.AdminserviceApplication - The following profiles are active: local
2020-05-24 08:47:26.183 sszserver [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.s.b.w.e.j.JettyEmbeddedWebAppContext@63a7af06{application,/,[file:///C:/Users/Hello_Earth/AppData/Local/Temp/jetty-docbase.7571363915345724510.8081/],AVAILABLE}
2020-05-24 08:47:26.183 sszserver [main] INFO  org.eclipse.jetty.server.Server - Started @21881ms
2020-05-24 08:47:27.339 sszserver [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2020-05-24 08:47:27.540 sszserver [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.15.Final
2020-05-24 08:47:28.661 sszserver [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-05-24 08:47:31.769 sszserver [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-05-24 08:47:31.888 sszserver [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2020-05-24 08:47:32.443 sszserver [main] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'entityManagerFactory' defined in class path resource [org/springframework/boot/autoconfigure/orm/jpa/HibernateJpaConfiguration.class]: Invocation of init method failed; nested exception is org.hibernate.DuplicateMappingException: The [com.hello.common.entity.system.Permission] and [com.hello.adminservice.entity.system.Permission] entities share the same JPA entity name: [Permission] which is not allowed!
2020-05-24 08:47:32.482 sszserver [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-05-24 08:47:32.485 sszserver [main] INFO  org.eclipse.jetty.server.session - node0 Stopped scavenging
2020-05-24 08:47:32.488 sszserver [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Stopped o.s.b.w.e.j.JettyEmbeddedWebAppContext@63a7af06{application,/,[file:///C:/Users/Hello_Earth/AppData/Local/Temp/jetty-docbase.7571363915345724510.8081/],UNAVAILABLE}
2020-05-24 08:47:32.498 sszserver [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-05-24 08:55:21.327 sszserver [main] INFO  com.hello.mobileservice.MobileApplication - The following profiles are active: local
2020-05-24 08:55:24.010 sszserver [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-05-24 08:55:24.012 sszserver [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2020-05-24 08:55:24.062 sszserver [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 28ms. Found 0 JPA repository interfaces.
2020-05-24 08:55:24.086 sszserver [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-05-24 08:55:24.088 sszserver [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-05-24 08:55:24.114 sszserver [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12ms. Found 0 Redis repository interfaces.
